95	8.70165229E-03   1.49586517E-02
90	-2.29461049E-03   2.99565550E-02
85	1.58174634E-02   2.29288321E-02
80	8.33464507E-03   2.66912095E-02
75	1.76989231E-02   9.58212465E-03
70	2.06465535E-02   8.43682420E-03
65	4.39773686E-02   1.94845684E-02
60	5.70364967E-02   8.11868254E-03
55	7.44544119E-02   1.25364903E-02
50	9.62316543E-02   9.94341355E-03
45	0.128367662       7.02351378E-03
40	0.154501036       6.23112591E-03
35	0.194460079       5.28160622E-03
30	0.234790012       4.30657016E-03
25	0.285808414       3.18410969E-03
20	0.337038875       3.20393336E-03
15	0.394788444       3.11360345E-03
10	0.450921059       3.07825650E-03
9	0.461064249       3.08165397E-03
7	0.481083602       3.08756740E-03
5	0.500238717       3.04723461E-03
4	0.508153021       3.03589506E-03
3	0.515482187       3.03630903E-03
2	0.522750258       3.03584919E-03
