95	7.77662790E-04   1.23472628E-03
90	9.13353462E-04   1.52180437E-03
85	1.22436590E-03   1.86899549E-03
80	1.87052134E-03   2.14835512E-03
75	2.55911122E-03   2.34226114E-03
70	3.66584165E-03   2.38098577E-03
65	5.68647729E-03   2.49845674E-03
60	9.12469812E-03   2.64154212E-03
55	1.38285812E-02   2.71285605E-03
50	2.03108210E-02   2.81460676E-03
45	2.94733513E-02   2.88188807E-03
40	4.19093482E-02   2.92556849E-03
35	5.84520996E-02   2.96445889E-03
30	8.07863772E-02   2.99492385E-03
25	0.110773019       3.01209907E-03
20	0.151233017       3.01679224E-03
15	0.205821529       3.02357529E-03
10	0.281328648       3.03061446E-03
9	0.298860639       3.03089060E-03
7	0.337937683       3.03261983E-03
5	0.383275867       3.03508528E-03
4	0.407919556       3.03528155E-03
3	0.434720367       3.03531415E-03
2	0.464602172       3.03538912E-03

